,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
859,Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"E Lewis, YBK Jaiswal","GHS Garton, Mohammed Siraj, GJ Maxwell, HV Patel",56
860,Dubai International Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,"RD Gaikwad, F du Plessis, MM Ali, AT Rayudu, SK Raina, MS Dhoni","TA Boult, AF Milne",24
861,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,"DA Warner, KS Williamson, WP Saha, MK Pandey","A Nortje, Avesh Khan, AR Patel, K Rabada",32
862,Sharjah Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,"Shubman Gill, VR Iyer","JD Unadkat, CH Morris, C Sakariya",34
863,Sharjah Cricket Stadium,1,Punjab Kings,Sunrisers Hyderabad,"KL Rahul, MA Agarwal, CH Gayle, AK Markram","Sandeep Sharma, B Kumar, JO Holder",29
864,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli, D Padikkal, KS Bharat","TA Boult, JJ Bumrah, AF Milne, KH Pandya",48
865,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"JJ Roy, WP Saha, KS Williamson, PK Garg","TG Southee, Shivam Mavi, CV Varun",35
866,Dubai International Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,"RD Gaikwad, F du Plessis, RV Uthappa, MM Ali","A Nortje, Avesh Khan, AR Patel, K Rabada",48
867,Dubai International Cricket Stadium,1,Rajasthan Royals,Punjab Kings,"E Lewis, YBK Jaiswal, SV Samson","Mohammed Shami, IC Porel, DJ Hooda, Arshdeep Singh",57
868,Sharjah Cricket Stadium,1,Mumbai Indians,Delhi Capitals,"RG Sharma, Q de Kock, SA Yadav","A Nortje, Avesh Khan, R Ashwin, K Rabada",35
869,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"V Kohli, D Padikkal","DL Chahar, JR Hazlewood, SN Thakur",55
870,Dubai International Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,"PP Shaw, S Dhawan, SS Iyer, AR Patel","DL Chahar, JR Hazlewood, SN Thakur",51
871,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"D Padikkal, V Kohli, KS Bharat","Shakib Al Hasan, Shivam Mavi, CV Varun, LH Ferguson",53
872,Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, S Dhawan, MP Stoinis","Shakib Al Hasan, LH Ferguson, SP Narine, CV Varun",38
873,Dubai International Cricket Stadium,1,Chennai Super Kings,Kolkata Knight Riders,"RD Gaikwad, F du Plessis","Shakib Al Hasan, Shivam Mavi, LH Ferguson, CV Varun",50
874,"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Kolkata Knight Riders,"RD Gaikwad, RV Uthappa, DP Conway, AT Rayudu","UT Yadav, Shivam Mavi, CV Varun",35
875,"Brabourne Stadium, Mumbai",1,Mumbai Indians,Delhi Capitals,"RG Sharma, Ishan Kishan","SN Thakur, KK Ahmed, AR Patel, KL Nagarkoti",53
876,"Dr DY Patil Sports Academy, Mumbai",1,Royal Challengers Bangalore,Punjab Kings,"F du Plessis, Anuj Rawat","Sandeep Sharma, Arshdeep Singh, OF Smith",41
877,"Wankhede Stadium, Mumbai",1,Lucknow Super Giants,Gujarat Titans,"KL Rahul, E Lewis, Q de Kock, MK Pandey, DJ Hooda, A Badoni","Mohammed Shami, VR Aaron, LH Ferguson",32
878,"Maharashtra Cricket Association Stadium, Pune",1,Rajasthan Royals,Sunrisers Hyderabad,"JC Buttler, YBK Jaiswal","B Kumar, R Shepherd, Umran Malik, Washington Sundar, T Natarajan",58
879,"Dr DY Patil Sports Academy, Mumbai",1,Kolkata Knight Riders,Royal Challengers Bangalore,"AM Rahane, VR Iyer, SS Iyer, N Rana, SP Narine","DJ Willey, Mohammed Siraj, Akash Deep",44
880,"Brabourne Stadium, Mumbai",1,Chennai Super Kings,Lucknow Super Giants,"RV Uthappa, RD Gaikwad, MM Ali","Avesh Khan, PVD Chameera, AJ Tye, KH Pandya",73
881,"Wankhede Stadium, Mumbai",1,Punjab Kings,Kolkata Knight Riders,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa","UT Yadav, TG Southee, Shivam Mavi, CV Varun",62
882,"Dr DY Patil Sports Academy, Mumbai",1,Rajasthan Royals,Mumbai Indians,"JC Buttler, YBK Jaiswal, D Padikkal","JJ Bumrah, DR Sams, Basil Thampi, M Ashwin, TS Mills",48
883,"Maharashtra Cricket Association Stadium, Pune",1,Gujarat Titans,Delhi Capitals,"MS Wade, Shubman Gill, V Shankar","Mustafizur Rahman, SN Thakur, KK Ahmed, AR Patel",44
884,"Brabourne Stadium, Mumbai",1,Punjab Kings,Chennai Super Kings,"MA Agarwal, PBB Rajapaksa, S Dhawan, LS Livingstone","Mukesh Choudhary, CJ Jordan, DJ Bravo",72
885,"Dr DY Patil Sports Academy, Mumbai",1,Lucknow Super Giants,Sunrisers Hyderabad,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda","B Kumar, Washington Sundar, R Shepherd",32
886,"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Royal Challengers Bangalore,"JC Buttler, YBK Jaiswal, D Padikkal","Mohammed Siraj, DJ Willey, Akash Deep",35
887,"Maharashtra Cricket Association Stadium, Pune",1,Mumbai Indians,Kolkata Knight Riders,"RG Sharma, Ishan Kishan, D Brevis","UT Yadav, Rasikh Salam, PJ Cummins",35
888,"Dr DY Patil Sports Academy, Mumbai",1,Delhi Capitals,Lucknow Super Giants,"PP Shaw, DA Warner","JO Holder, K Gowtham, Avesh Khan, Ravi Bishnoi, AJ Tye",52
889,"Brabourne Stadium, Mumbai",1,Punjab Kings,Gujarat Titans,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone","Mohammed Shami, HH Pandya, LH Ferguson, Rashid Khan",43
890,"Dr DY Patil Sports Academy, Mumbai",1,Chennai Super Kings,Sunrisers Hyderabad,"RV Uthappa, RD Gaikwad, MM Ali, AT Rayudu","B Kumar, M Jansen, Washington Sundar, T Natarajan",41
891,"Maharashtra Cricket Association Stadium, Pune",1,Mumbai Indians,Royal Challengers Bangalore,"Ishan Kishan, RG Sharma","DJ Willey, Mohammed Siraj, PWH de Silva, Akash Deep",49
892,"Brabourne Stadium, Mumbai",1,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, DA Warner","UT Yadav, Rasikh Salam, PJ Cummins, CV Varun, SP Narine",68
893,"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Lucknow Super Giants,"JC Buttler, D Padikkal, SV Samson","PVD Chameera, JO Holder, Ravi Bishnoi, Avesh Khan",44
894,"Dr DY Patil Sports Academy, Mumbai",1,Gujarat Titans,Sunrisers Hyderabad,"MS Wade, Shubman Gill, B Sai Sudharsan, HH Pandya","B Kumar, M Jansen, Washington Sundar, T Natarajan",51
895,"Dr DY Patil Sports Academy, Mumbai",1,Chennai Super Kings,Royal Challengers Bangalore,"RD Gaikwad, RV Uthappa, MM Ali","Mohammed Siraj, JR Hazlewood, Akash Deep",35
896,"Maharashtra Cricket Association Stadium, Pune",1,Punjab Kings,Mumbai Indians,"MA Agarwal, S Dhawan","Basil Thampi, JD Unadkat, JJ Bumrah, M Ashwin, TS Mills",65
897,"Dr DY Patil Sports Academy, Mumbai",1,Gujarat Titans,Rajasthan Royals,"MS Wade, Shubman Gill, V Shankar, HH Pandya","JDS Neesham, M Prasidh Krishna, KR Sen, YS Chahal",42
898,"Brabourne Stadium, Mumbai",1,Kolkata Knight Riders,Sunrisers Hyderabad,"VR Iyer, AJ Finch, SS Iyer, SP Narine, N Rana","B Kumar, M Jansen, T Natarajan",38
899,"Brabourne Stadium, Mumbai",1,Lucknow Super Giants,Mumbai Indians,"KL Rahul, Q de Kock, MK Pandey","Tilak Varma, JD Unadkat, M Ashwin, JJ Bumrah, TS Mills, FA Allen",57
900,"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Delhi Capitals,"F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell","Mustafizur Rahman, SN Thakur, KK Ahmed, AR Patel",40
901,"Dr DY Patil Sports Academy, Mumbai",1,Punjab Kings,Sunrisers Hyderabad,"S Dhawan, P Simran Singh, JM Bairstow, LS Livingstone","B Kumar, M Jansen, T Natarajan",48
902,"Maharashtra Cricket Association Stadium, Pune",1,Chennai Super Kings,Gujarat Titans,"RD Gaikwad, RV Uthappa, MM Ali, AT Rayudu","Mohammed Shami, Yash Dayal, AS Joseph",39
903,"Brabourne Stadium, Mumbai",1,Rajasthan Royals,Kolkata Knight Riders,"JC Buttler, D Padikkal","UT Yadav, Shivam Mavi, CV Varun, PJ Cummins",60
904,"Dr DY Patil Sports Academy, Mumbai",1,Royal Challengers Bangalore,Lucknow Super Giants,"Anuj Rawat, V Kohli, F du Plessis, GJ Maxwell, SS Prabhudessai","PVD Chameera, Avesh Khan, KH Pandya",47
905,"Brabourne Stadium, Mumbai",1,Punjab Kings,Delhi Capitals,"MA Agarwal, S Dhawan, JM Bairstow, LS Livingstone, JM Sharma","SN Thakur, KK Ahmed, Lalit Yadav, Mustafizur Rahman, AR Patel",47
906,"Dr DY Patil Sports Academy, Mumbai",1,Mumbai Indians,Chennai Super Kings,"RG Sharma, D Brevis, Ishan Kishan, SA Yadav, Tilak Varma","Mukesh Choudhary, MJ Santner, M Theekshana",42
907,"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Delhi Capitals,"JC Buttler, D Padikkal","KK Ahmed, SN Thakur, Lalit Yadav, Mustafizur Rahman",44
908,"Dr DY Patil Sports Academy, Mumbai",1,Gujarat Titans,Kolkata Knight Riders,"WP Saha, Shubman Gill, HH Pandya","UT Yadav, TG Southee, Shivam Mavi, SP Narine",47
909,"Brabourne Stadium, Mumbai",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"F du Plessis, Anuj Rawat, V Kohli, GJ Maxwell, SS Prabhudessai, Shahbaz Ahmed","B Kumar, M Jansen, T Natarajan",31
910,"Wankhede Stadium, Mumbai",1,Lucknow Super Giants,Mumbai Indians,"Q de Kock, KL Rahul, MK Pandey","DR Sams, HR Shokeen, JJ Bumrah, RP Meredith, JD Unadkat",32
911,"Wankhede Stadium, Mumbai",1,Punjab Kings,Chennai Super Kings,"MA Agarwal, S Dhawan, PBB Rajapaksa","Mukesh Choudhary, M Theekshana, MJ Santner",37
912,"Maharashtra Cricket Association Stadium, Pune",1,Rajasthan Royals,Royal Challengers Bangalore,"JC Buttler, D Padikkal, R Ashwin, DJ Mitchell, SV Samson","Shahbaz Ahmed, Mohammed Siraj, JR Hazlewood, PWH de Silva",43
913,"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Gujarat Titans,"Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram","Mohammed Shami, Yash Dayal, AS Joseph",53
914,"Wankhede Stadium, Mumbai",1,Kolkata Knight Riders,Delhi Capitals,"AJ Finch, VR Iyer, SS Iyer, B Indrajith","Mustafizur Rahman, C Sakariya, SN Thakur, AR Patel",29
915,"Maharashtra Cricket Association Stadium, Pune",1,Lucknow Super Giants,Punjab Kings,"Q de Kock, KL Rahul, DJ Hooda","Arshdeep Singh, Sandeep Sharma, K Rabada, R Dhawan",39
916,"Brabourne Stadium, Mumbai",1,Royal Challengers Bangalore,Gujarat Titans,"V Kohli, F du Plessis, RM Patidar","Mohammed Shami, PJ Sangwan, AS Joseph",43
917,"Dr DY Patil Sports Academy, Mumbai",1,Rajasthan Royals,Mumbai Indians,"JC Buttler, D Padikkal, SV Samson","DR Sams, JJ Bumrah, HR Shokeen, RP Meredith",40
918,"Wankhede Stadium, Mumbai",1,Lucknow Super Giants,Delhi Capitals,"Q de Kock, KL Rahul, DJ Hooda","Mustafizur Rahman, C Sakariya, AR Patel, Lalit Yadav, SN Thakur",57
919,"Maharashtra Cricket Association Stadium, Pune",1,Chennai Super Kings,Sunrisers Hyderabad,"RD Gaikwad, DP Conway","B Kumar, M Jansen, T Natarajan",40
920,"Wankhede Stadium, Mumbai",1,Rajasthan Royals,Kolkata Knight Riders,"JC Buttler, D Padikkal, SV Samson","UT Yadav, AS Roy, SP Narine",38
921,"Dr DY Patil Sports Academy, Mumbai",1,Gujarat Titans,Punjab Kings,"WP Saha, Shubman Gill, HH Pandya, B Sai Sudharsan","Sandeep Sharma, K Rabada, Arshdeep Singh",42
922,"Maharashtra Cricket Association Stadium, Pune",1,Royal Challengers Bangalore,Chennai Super Kings,"V Kohli, F du Plessis","Mukesh Choudhary, Simarjeet Singh, M Theekshana",57
923,"Brabourne Stadium, Mumbai",1,Delhi Capitals,Sunrisers Hyderabad,"Mandeep Singh, MR Marsh, DA Warner, RR Pant","B Kumar, SA Abbott, Umran Malik, Kartik Tyagi",50
924,"Brabourne Stadium, Mumbai",1,Mumbai Indians,Gujarat Titans,"Ishan Kishan, RG Sharma","Mohammed Shami, AS Joseph, Rashid Khan, LH Ferguson",63
925,"Wankhede Stadium, Mumbai",1,Punjab Kings,Rajasthan Royals,"JM Bairstow, S Dhawan, PBB Rajapaksa","TA Boult, M Prasidh Krishna, KR Sen, R Ashwin",48
926,"Maharashtra Cricket Association Stadium, Pune",1,Lucknow Super Giants,Kolkata Knight Riders,"Q de Kock, DJ Hooda","TG Southee, Shivam Mavi, SP Narine, AS Roy, Harshit Rana",66
927,"Wankhede Stadium, Mumbai",1,Royal Challengers Bangalore,Sunrisers Hyderabad,"V Kohli, RM Patidar, F du Plessis","J Suchith, B Kumar, Fazalhaq Farooqi, Kartik Tyagi",47
928,"Dr DY Patil Sports Academy, Mumbai",1,Chennai Super Kings,Delhi Capitals,"RD Gaikwad, DP Conway","SN Thakur, KK Ahmed, A Nortje, AR Patel",57
929,"Dr DY Patil Sports Academy, Mumbai",1,Kolkata Knight Riders,Mumbai Indians,"VR Iyer, AM Rahane, N Rana","DR Sams, M Ashwin, JJ Bumrah, RP Meredith, K Kartikeya",64
930,"Maharashtra Cricket Association Stadium, Pune",1,Gujarat Titans,Lucknow Super Giants,"WP Saha, Shubman Gill, MS Wade, HH Pandya","Mohsin Khan, PVD Chameera, Avesh Khan",35
931,"Dr DY Patil Sports Academy, Mumbai",1,Rajasthan Royals,Delhi Capitals,"YBK Jaiswal, JC Buttler, R Ashwin","C Sakariya, A Nortje, SN Thakur, AR Patel",43
932,"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Mumbai Indians,"RD Gaikwad, DP Conway, MM Ali, RV Uthappa, AT Rayudu, MS Dhoni, S Dube","DR Sams, JJ Bumrah, RP Meredith",32
933,"Brabourne Stadium, Mumbai",1,Punjab Kings,Royal Challengers Bangalore,"JM Bairstow, S Dhawan","GJ Maxwell, JR Hazlewood, Mohammed Siraj",83
934,"Maharashtra Cricket Association Stadium, Pune",1,Kolkata Knight Riders,Sunrisers Hyderabad,"VR Iyer, AM Rahane, N Rana","B Kumar, M Jansen, T Natarajan",55
935,"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Gujarat Titans,"RD Gaikwad, DP Conway, MM Ali","Mohammed Shami, HH Pandya, Yash Dayal, Rashid Khan",47
936,"Brabourne Stadium, Mumbai",1,Rajasthan Royals,Lucknow Super Giants,"YBK Jaiswal, JC Buttler, SV Samson","Mohsin Khan, PVD Chameera, Avesh Khan",51
937,"Dr DY Patil Sports Academy, Mumbai",1,Delhi Capitals,Punjab Kings,"DA Warner, MR Marsh, SN Khan, Lalit Yadav","LS Livingstone, K Rabada, Harpreet Brar, R Dhawan, Arshdeep Singh",59
938,"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Mumbai Indians,"Abhishek Sharma, PK Garg, RA Tripathi","DR Sams, RP Meredith, R Sanjay Yadav, JJ Bumrah",57
939,"Dr DY Patil Sports Academy, Mumbai",1,Lucknow Super Giants,Kolkata Knight Riders,"Q de Kock, KL Rahul","UT Yadav, TG Southee, SP Narine, CV Varun",44
940,"Wankhede Stadium, Mumbai",1,Gujarat Titans,Royal Challengers Bangalore,"WP Saha, Shubman Gill, MS Wade, HH Pandya","S Kaul, Shahbaz Ahmed, JR Hazlewood, GJ Maxwell",38
941,"Brabourne Stadium, Mumbai",1,Chennai Super Kings,Rajasthan Royals,"RD Gaikwad, DP Conway, MM Ali","TA Boult, M Prasidh Krishna, R Ashwin",75
942,"Wankhede Stadium, Mumbai",1,Delhi Capitals,Mumbai Indians,"PP Shaw, DA Warner, MR Marsh, RR Pant, SN Khan","DR Sams, HR Shokeen, JJ Bumrah",37
943,"Wankhede Stadium, Mumbai",1,Sunrisers Hyderabad,Punjab Kings,"PK Garg, Abhishek Sharma, RA Tripathi","LS Livingstone, Arshdeep Singh, K Rabada, NT Ellis",43
944,"Eden Gardens, Kolkata",1,Rajasthan Royals,Gujarat Titans,"YBK Jaiswal, JC Buttler, SV Samson","Mohammed Shami, Yash Dayal, AS Joseph",55
945,"Eden Gardens, Kolkata",1,Royal Challengers Bangalore,Lucknow Super Giants,"V Kohli, F du Plessis, RM Patidar","Mohsin Khan, PVD Chameera, KH Pandya, Avesh Khan",52
946,"Narendra Modi Stadium, Ahmedabad",1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli, F du Plessis, RM Patidar","TA Boult, M Prasidh Krishna",46
947,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,"YBK Jaiswal, JC Buttler, SV Samson","Mohammed Shami, Yash Dayal, LH Ferguson, Rashid Khan",44
948,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher","AB Dinda, I Sharma, AB Agarkar",26
949,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,"K Goel, JR Hopes","JDP Oram, MS Gony",63
950,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag, S Dhawan","MM Patel, SR Watson, SK Trivedi",55
951,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"S Chanderpaul, R Dravid, LRPL Taylor","A Nehra, SM Pollock, DS Kulkarni",40
952,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,"WP Saha, BB McCullum, RT Ponting, SC Ganguly, DJ Hussey","WPUJC Vaas, RP Singh, SB Styris",26
953,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"M Kaif, YK Pathan, Kamran Akmal, SR Watson, DS Lehmann","B Lee, S Sreesanth, JR Hopes",53
954,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"G Gambhir, V Sehwag, S Dhawan","WPUJC Vaas, RP Singh",48
955,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock","JDP Oram, MS Gony",52
956,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"Kamran Akmal, GC Smith, YK Pathan","WPUJC Vaas, RP Singh, PP Ojha",73
957,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo","B Lee, IK Pathan, VRV Singh, S Sreesanth",39
958,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith, M Rawat, YK Pathan, SR Watson","P Kumar, Z Khan, R Vinay Kumar",45
959,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,"PA Patel, ML Hayden","AB Dinda, I Sharma, AB Agarkar",45
960,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"AC Gilchrist, VVS Laxman","A Nehra, SM Pollock, DS Kulkarni, ST Jayasuriya, SD Chitnis",60
961,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"K Goel, SM Katich, KC Sangakkara, DPMD Jayawardene","GD McGrath, Mohammad Asif, MF Maharoof",55
962,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"B Chipli, W Jaffer, LRPL Taylor","JDP Oram, MS Gony",45
963,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"AM Rahane, ST Jayasuriya, MK Pandey, RV Uthappa, DJ Bravo","AB Agarkar, I Sharma, AB Dinda",38
964,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"P Kumar, LRPL Taylor, W Jaffer, JH Kallis, R Dravid","GD McGrath, Mohammad Asif, VY Mahesh",55
965,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,"SE Marsh, RR Sarwan","RP Singh, DNT Zoysa, Shahid Afridi, SB Bangar",41
966,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"Salman Butt, SC Ganguly, AB Agarkar, BJ Hodge","SR Watson, Sohail Tanvir, SK Trivedi",51
967,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"G Gambhir, V Sehwag","M Ntini, MS Gony, JA Morkel",64
968,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis, W Jaffer, Misbah-ul-Haq","WPUJC Vaas, RP Singh, SB Bangar, DP Vijaykumar",43
969,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"Mohammad Hafeez, SC Ganguly, BJ Hodge, DB Das, LR Shukla, DJ Hussey","S Sreesanth, IK Pathan",31
970,Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,"G Gambhir, V Sehwag, S Dhawan, AB de Villiers","SM Pollock, A Nehra, DJ Bravo",37
971,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar","M Ntini, MS Gony",44
972,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh, JR Hopes, RR Sarwan","DW Steyn, Z Khan, P Kumar, JH Kallis",52
973,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, HH Gibbs, SB Styris","M Ntini, MS Gony, JA Morkel",50
974,Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,"YV Takawale, ST Jayasuriya","Sohail Tanvir, MM Patel, SK Trivedi",34
975,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"S Vidyut, SP Fleming","GD McGrath, Mohammad Asif, VY Mahesh, PJ Sangwan",62
976,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"J Arunkumar, S Chanderpaul, MV Boucher, R Dravid","AB Dinda, I Sharma, Umar Gul, SC Ganguly",35
977,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"GC Smith, YK Pathan","DP Vijaykumar, RP Singh, SB Styris, PP Ojha",50
978,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya, SR Tendulkar","A Kumble, DW Steyn, P Kumar, R Vinay Kumar",39
979,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"SE Marsh, JR Hopes, K Goel, RR Sarwan","MS Gony, JA Morkel",35
980,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, HH Gibbs, DB Ravi Teja, SB Styris, RG Sharma","AB Dinda, I Sharma, Umar Gul",55
981,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,"YK Pathan, GC Smith, M Kaif, SR Watson","GD McGrath, MF Maharoof, PJ Sangwan",21
982,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh, JR Hopes","DW Steyn, Z Khan, P Kumar",42
983,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir, V Sehwag, AB de Villiers, MK Tiwary, TM Dilshan, S Dhawan","Shoaib Akhtar, I Sharma, AB Dinda",37
984,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya, SR Tendulkar","MS Gony, JA Morkel",78
985,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"M Kaif, NK Patel, Younis Khan, SR Watson","IK Pathan, S Sreesanth, JR Hopes",38
986,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,"AC Gilchrist, Shahid Afridi, HH Gibbs","GD McGrath, Mohammad Asif, MF Maharoof",71
987,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya, SR Tendulkar, RV Uthappa, DJ Thornely","Shoaib Akhtar, I Sharma, AB Agarkar",68
988,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"SE Marsh, JR Hopes, Yuvraj Singh, LA Pomersbach, DPMD Jayawardene","GD McGrath, PJ Sangwan, A Mishra, V Sehwag",73
989,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"J Arunkumar, V Kohli, Misbah-ul-Haq, JH Kallis, CL White","Sohail Tanvir, MM Patel",23
990,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"AC Gilchrist, Shahid Afridi, RG Sharma, Y Venugopal Rao, LPC Silva","A Nehra, DJ Bravo, CRD Fernando, RR Raje",32
991,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"PA Patel, SP Fleming","Shoaib Akhtar, I Sharma, AB Dinda, AB Agarkar",43
992,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir, V Sehwag","DW Steyn, Z Khan, P Kumar, JH Kallis",71
993,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"GC Smith, SA Asnodkar, Sohail Tanvir, SR Watson","AB Dinda, I Sharma, AB Agarkar, Umar Gul",42
994,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya, SR Tendulkar, DR Smith","S Sreesanth, IK Pathan, VRV Singh",68
995,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, SP Fleming","DW Steyn, P Kumar, A Kumble, JH Kallis",44
996,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,"SE Marsh, KC Sangakkara","RP Singh, DP Vijaykumar, Y Venugopal Rao, SB Styris",74
997,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary","SM Pollock, A Nehra, A Nel, DS Kulkarni",56
998,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"PA Patel, SP Fleming, SK Raina","Sohail Tanvir, YK Pathan, MM Patel, Pankaj Singh",65
999,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, VVS Laxman, HH Gibbs, RG Sharma","DW Steyn, Z Khan, P Kumar",33
1000,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"Salman Butt, SC Ganguly, DB Das, DJ Hussey","IK Pathan, S Sreesanth, RR Powar",51
1001,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"Kamran Akmal, SA Asnodkar, YK Pathan, SR Watson","SM Pollock, A Nehra, CRD Fernando",36
1002,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,"PA Patel, SP Fleming, SK Raina","RP Singh, DP Vijaykumar, Shahid Afridi",44
